Chain,Slug,Category,Areas served,Homepage,Weekly ad / circular URL,Status,Notes
Roundy's,roundy_s,national,"Illinois, Wisconsin",https://www.roundys.com/,,needs review,"Corporate parent, not a consumer banner. Consumer stores are Pick 'n Save / Metro Market / Mariano's."
Ruler Foods,ruler_foods,national,"Illinois, Indiana, Kentucky, Missouri, Ohio, Tennessee",https://www.rulerfoods.com/,,needs review,Kroger no-frills banner; typically does NOT publish a weekly circular. Verify.
Sam's Club,sam_s_club,national,,https://www.samsclub.com/,,needs review,No weekly circular; uses 'Instant Savings' (samsclub.com/savings). Two rows in file.
Sam's Club,sams_club,club,,https://www.samsclub.com/,,needs review,No weekly circular; uses 'Instant Savings' (samsclub.com/savings). Two rows in file.
Save A Lot,save_a_lot,discount,,https://savealot.com/,https://savealot.com/weekly-ad,needs review,Verify exact ad path.
Saver's Cost Plus,saver_s_cost_plus,international,Texas,https://savers-costplus.com/,https://savers-costplus.com/supermarket/weeklyad/,resolved,Irving/Ft Worth TX Hispanic.
Scolari's Food and Drug,scolari_s_food_and_drug,local,"California, Nevada",https://www.scolaris.com/,,needs review,N. Nevada / CA Central Coast independent. WARNING: appears to be closing/closed - a 'final weekly ad' was posted and several NV stores show CLOSED. Verify status before use.
Seabra Foods,seabra_foods,local,"New Jersey, South Florida, Rhode Island, Massachusetts",https://seabrafoods.com/,https://seabrafoods.com/pages/weekly-special-circulars-in-store-only,resolved,Portuguese/Latin (NJ/FL/RI/MA).
Seafood City,seafood_city,international,"California, Hawaii, Washington, Nevada, Illinois",https://www.seafoodcity.com/,https://www.seafoodcity.com/weekly-specials/,needs review,Filipino (CA/HI/WA/NV/IL). Verify ad path.
Seasons,seasons,international,"New York, New Jersey",https://seasonskosher.com/,https://seasonskosher.com/,resolved,Kosher (NY/NJ). Per-location 'Weekly Circular' on site.
Seller's Brothers,seller_s_brothers,local,"Houston, Texas",https://www.sellersbros.com/,https://www.sellersbros.com/weekly-ad,needs review,Houston TX Hispanic. Verify domain/ad path.
Sendik's Food Market,sendik_s_food_market,local,Wisconsin,https://www.sendiks.com/,https://www.sendiks.com/weekly-ad,resolved,WI (Balistreri family). Note: sendiksfinefoods.com is a separate related banner.
Seven Mile Market,seven_mile_market,international,"Pikesville, Maryland",https://www.sevenmilemarket.com/,https://www.sevenmilemarket.com/,resolved,Kosher (Pikesville MD). Circular on site; also mirrored on WatsOnSale/MarketMavenMD.
Shaw's and Star Market,shaw_s_and_star_market,national,"Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",https://www.shaws.com/ ; https://www.starmarket.com/,https://www.shaws.com/weeklyad ; https://www.starmarket.com/weeklyad,banner pattern,Two Albertsons banners; both /weeklyad.
Shoppers Food & Pharmacy,shoppers_food_and_pharmacy,local,"Baltimore, Washington, D.C. areas",https://www.shoppersfood.com/,https://www.shoppersfood.com/weekly-ad,needs review,Baltimore/DC (UNFI). Verify ad path.
ShopRite,shoprite,regional,,https://www.shoprite.com/,https://www.shoprite.com/circulars,resolved,Wakefern co-op.
Sieu Thi ABC,sieu_thi_abc,international,,,,needs review,"'Sieu Thi ABC' = ABC Supermarket, Little Saigon/Westminster CA (Vietnamese). Likely no online circular / Facebook only."
Skyfood Supermarket,skyfood_supermarket,international,six locations in New York,https://www.skyfoodmarket.com/,https://www.skyfoodmarket.com/,needs review,NY (6 locations) Asian. Verify domain/ad; flyers also on chaoshiweekly.com.
Sleeper's Supermarket,sleeper_s_supermarket,local,Maine,https://sleepersmarket.com/,https://sleepersmarket.com/pages/our-weekly-flyer,resolved,"Sleeper's Market (Caribou ME, family-owned since 1914; groceries + clothing)."
Smith's Food and Drug,smith_s_food_and_drug,national,"Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming",https://www.smithsfoodanddrug.com/,https://www.smithsfoodanddrug.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Sprouts Farmers Market,sprouts_farmers_market,natural,,https://www.sprouts.com/,https://shop.sprouts.com/store/sprouts/flyers/weekly,resolved,Confirmed; also runs a monthly ad.
Straub's Markets,straub_s_markets,local,"St. Louis, Missouri",https://www.straubs.com/,https://www.straubs.com/weekly-ad,needs review,St. Louis MO. Verify ad path.
Subzi Bazaar,subzi_bazaar,international,"New Jersey, New York",https://thesubzimandi.com/,https://thesubzimandi.com/weeklyspecial/,needs review,South Asian (NJ/NY). Best match is 'Subzi Mandi' chain - confirm 'Subzi Bazaar' is the same operator.
Sullivan's Foods,sullivan_s_foods,local,Northwest Illinois,https://www.sullivansfoods.net/,https://www.sullivansfoods.net/weekly-ad,resolved,NW Illinois (11 stores).
Super Market México,super_market_mexico,international,,,,needs review,Generic name; ambiguous independent(s). No canonical site confirmed - likely single-store / Facebook only.
SuperFresh,superfresh,local,"New York, New Jersey",https://www.superfreshfoodmarkets.com/,https://www.superfreshfoodmarkets.com/,needs review,NY/NJ (Key Food-affiliated; old A&P banner). Verify site/ad.
Superior Super Warehouse,superior_super_warehouse,international,,https://www.superiorgrocers.com/,https://www.superiorgrocers.com/weekly-ad,needs review,= Superior Grocers (SoCal Hispanic; 'Superior Super Warehouse' is the older banner). Verify ad path.
Supermercado El Rancho,supermercado_el_rancho,international,,https://www.elranchoinc.com/,https://www.elranchoinc.com/ad-semanal/,resolved,El Rancho Supermercado (TX). Covers both 'El Rancho' and 'Supermercado El Rancho' rows.
Supermercados Selectos,supermercados_selectos,local,Puerto Rico,https://www.selectospr.com/,https://www.selectospr.com/,needs review,Puerto Rico (35 stores). Verify domain; shopper mirrored at shopperspr.net/selectos.
Supersaver Foods,supersaver_foods,international,,,,needs review,Hispanic-geared banner operated by Albertsons LLC; chain now LARGELY CLOSED except a few stores in Utah (per Wikipedia). Not the Nebraska B&R 'Super Saver'. Verify remaining locations before use.
Tenochtitlán Market,tenochtitlan_market,international,Utah,,,needs review,Small UT Hispanic (Campos family: West Valley/Midvale/Orem). No clear website - likely Facebook only.
Terry's / El Mariachi Supermarkets,terry_s_el_mariachi_supermarkets,international,"Dallas, Fort Worth, Texas, Oklahoma City",https://www.terrysupermarket.com/,https://www.terrysupermarket.com/,needs review,DFW TX + OKC Hispanic (Terry's / El Mariachi). Weekly ad Wednesdays. Verify domain (site also seen at terrymarket.nextkernel.com).
The Food Emporium,the_food_emporium,local,New York City area,https://www.thefoodemporium.com/,https://www.thefoodemporium.com/circular,needs review,NYC (Key Food-affiliated). Verify circular path.
The Market Place,the_market_place,international,Brooklyn,,,needs review,Kosher (Brooklyn NY). Small independent - likely no online circular / Facebook only.
Trader Joe's,trader_joe_s_2,natural,,https://www.traderjoes.com/,,no ad,Trader Joe's does NOT publish weekly ads/circulars (policy). Two rows in file.
Trader Joe's,trader_joe_s,discount,,https://www.traderjoes.com/,,no ad,Trader Joe's does NOT publish weekly ads/circulars (policy). Two rows in file.
Tresierras Supermarkets,tresierras_supermarkets,international,Southern California,https://www.tresierrasmarkets.com/,https://www.tresierrasmarkets.com/,needs review,SoCal Hispanic. Verify domain/ad path.
Twin City Supermarket,twin_city_supermarket,international,New Jersey,https://twincitysupermarkets.com/,https://twincitysupermarkets.com/weekly-circular.html,resolved,NJ Latin (Elizabeth/Plainfield).
Uncle Giuseppe’s,uncle_giuseppes,international,,https://uncleg.com/,https://uncleg.com/circular/,resolved,"Italian specialty (NY/NJ, 12 stores)."
United Grocery Outlet,united_grocery_outlet,local,"Tennessee, North Carolina",https://www.myugo.com/,https://www.myugo.com/weekly-ad/,resolved,TN/NC discount grocery (UGO).
Uwajimaya,uwajimaya,international,"Seattle, Washington, Portland, Oregon",https://www.uwajimaya.com/,https://www.uwajimaya.com/weekly-specials/,resolved,Seattle/Portland Asian.
Vallarta Supermarkets,vallarta_supermarkets,international,California,https://vallartasupermarkets.com/,https://vallartasupermarkets.com/en/weekly-specials/,resolved,CA Latino.
Viva Markets,viva_markets,international,Utah,,,closed,Viva Markets (Utah) is defunct - Ogden store closed; West Valley & Midvale reverted to the Campos family's Tenochtitlan banner (per Salt Lake Tribune). NOTE: unrelated 'Viva Supermarket' (vivasupermarket.com) and Oceanside CA 'Viva Market' (vivasupermercado.com) still operate.
Vons and Pavilions,vons_and_pavilions,national,"California, Nevada",https://www.vons.com/ ; https://www.pavilions.com/,https://www.vons.com/weeklyad ; https://www.pavilions.com/weeklyad,banner pattern,Two Albertsons banners; both /weeklyad.
Walmart Neighborhood Market,walmart_neighborhood_market,national,,https://www.walmart.com/,,needs review,Walmart discontinued the printed weekly ad; savings at walmart.com/savings.
Walmart Walmart Neighborhood Market Sam's Club,walmart_walmart_neighborhood_market_sam_s_club,national,,,,needs review,Garbled/merged entry - drop or re-source.
Wesley Kosher,wesley_kosher,international,"Monsey, New York",https://www.wesleykosheronline.com/,https://www.wesleykosheronline.com/,resolved,"Kosher (Monsey NY, 455 Rte 306). Specials/circular on site."
Western Kosher,western_kosher,international,Los Angeles,https://www.westernkosher.com/,https://www.westernkosher.com/,needs review,LA kosher. Verify site/ad.
WinCo Foods,winco_foods,discount,"Arizona, California, Oklahoma, Oregon, Idaho, Nevada, Texas, Utah, Washington",https://www.wincofoods.com/,,needs review,EDLP model; limited/region-specific ad. Verify whether a circular exists.
Woodman's Markets,woodman_s_markets,local,"Illinois, Wisconsin",https://www.woodmans-food.com/,https://www.woodmans-food.com/weekly-flyer/,resolved,WI/IL employee-owned.
Yoke's Fresh Market,yoke_s_fresh_market,local,"Washington, Idaho",https://www.yokesfreshmarkets.com/,https://www.yokesfreshmarkets.com/weekly-ad,resolved,WA/ID employee-owned.
zTao Marketplace,ztao_marketplace,international,"Texas, Georgia",https://www.ztaomarketplace.com/,https://www.ztaomarketplace.com/,resolved,Asian (Plano TX; also GA). Weekly flyers on site.
